序号,题型,题库分类（大类）,题目分类（小类）,题干,选项A,选项B,选项C,选项D,答案,解释
148,判断题,国职游泳救生员初级,基础常识,当在水中发现溺水者时，应首先判决溺水者有无呼吸。,错误,正确,-,-,A,是先判断是否有无意识
149,判断题,国职游泳救生员初级,基础常识,对丧失意识溺水者可通过检查溺水者肢体了解其受伤的情况。,错误,正确,-,-,B,
150,判断题,国职游泳救生员初级,基础常识,对有意识的溺水者尽可能通过本人自述的方法了解受伤情况。,错误,正确,-,-,B,
151,判断题,国职游泳救生员初级,急救知识,检查溺水者有无自主呼吸应采取一听、二看、三感觉的方法。,错误,正确,-,-,B,在判断水者是否具有自主呼吸时，可以通过一听：听其是否有正常的呼吸声音，二看：看其是否有胸部的起伏，三感受：用手感受其颈部的脉动和呼吸来确认。
152,判断题,国职游泳救生员初级,急救知识,如溺水者在水中不能自主地支配肢体动作并缓慢下沉或已沉入池底，则溺水者已丧失了意识。,错误,正确,-,-,B,
153,判断题,国职游泳救生员初级,急救知识,针对丧失意识的溺水者应通过检查溺水者的肢体，了解其受伤情况。重点查看溺水者的手、脚是否受伤，是否发生外伤出血或肢体骨折。,错误,正确,-,-,A,重点查看溺水者颈椎、腰椎是否受伤
154,判断题,国职游泳救生员初级,急救知识,针对有意识的溺水者：通过倾听溺水者自述，了解其是否受伤。,错误,正确,-,-,B,
155,判断题,国职游泳救生员初级,急救知识,不会游泳的溺水者可能对救生员的指令没有任何反应。,错误,正确,-,-,B,
156,判断题,国职游泳救生员初级,急救知识,受伤的溺水者，对游泳救生员的指令可以明确作出反应。,错误,正确,-,-,A,受伤的溺水者在救生中溺水者的表现：指令反应为对指令的反应差，可能更多地关注受伤部位
157,判断题,国职游泳救生员初级,急救知识,游泳技能较差的溺水者可以依据游泳救生员的指示行动。,错误,正确,-,-,B,
158,判断题,国职游泳救生员初级,急救知识,泳技能差的游泳者在救生前能挥臂呼救。,错误,正确,-,-,B,
159,判断题,国职游泳救生员初级,急救知识,发生溺水时，无意识的溺水者可能漂在水底和水面之间的任何位置，脸部一定朝下。,错误,正确,-,-,A,脸部可能朝上，也可能朝下
160,判断题,国职游泳救生员初级,急救知识,游泳救生判断的正确与否，将直接关系到游泳救生员采用的救措施是否得当。,错误,正确,-,-,B,
161,判断题,国职游泳救生员初级,急救知识,游泳救生员应能够根据不同情况，作出迅速、果断、准确的判断。,错误,正确,-,-,B,
162,判断题,国职游泳救生员初级,急救知识,游泳救生员应能够根据判断的结果，采取及时、规范的救生技术。,错误,正确,-,-,B,
163,判断题,国职游泳救生员初级,管理规范,标准游泳场所观察区域划分的方法包括直线切割法、弧形切割法。,错误,正确,-,-,B,教材描述：标准游泳场所观察区域的划分：直线切割法，弧形切割法。
164,判断题,国职游泳救生员初级,管理规范,观察区域划分的原则为：便于救生员观察减少观察盲区和死角。,错误,正确,-,-,A,不是减少，是消除
165,判断题,国职游泳救生员初级,管理规范,救生员次责区不得超过250平方米。,错误,正确,-,-,A,次责任区是主责任区的1/2；主责任区是250平方米，故次责任区是125平方米
166,判断题,国职游泳救生员初级,管理规范,直线切割法中，对岸救生岗位主责区1/3的水域为次责区。,错误,正确,-,-,A,是1/2
167,判断题,国职游泳救生员初级,管理规范,直线切割法中，对岸救生岗位主责区1/2的水域为次责区。,错误,正确,-,-,B,
168,判断题,国职游泳救生员初级,管理规范,直线切割法中，对岸救生岗位主责区的水域为次责区。,错误,正确,-,-,A,主责任区1/2的水域为次责任区。
169,判断题,国职游泳救生员初级,管理规范,按水面积划分法是以每一救生岗位所负责的主、次责任区面积的总和来划分观察区域的方法。,错误,正确,-,-,B,按水面积划分法
170,判断题,国职游泳救生员初级,管理规范,不留盲区和死角划分法不能采用直线切割，弧形切割和重点布岗以及增加流动岗位等方法来划分观察区域。,错误,正确,-,-,A,可以采用
171,判断题,国职游泳救生员初级,管理规范,非标准游泳场所观察区域划分的方法包括直线切割法、弧形切割法和不留盲区和死角划分法。,错误,正确,-,-,A,非标准游泳场所观察区域的划分：1按水面积划分法 2不留盲区和死角划分法。直线切割法、弧形切割法是标准泳场所划分法。
172,判断题,国职游泳救生员初级,管理规范,每一救生岗位观察区域主责区的最大面积可达260平方米。,错误,正确,-,-,A,按水面划分法：主责任的最大面积控制在250m2之内
173,判断题,国职游泳救生员初级,管理规范,非标准场馆游泳场馆观察区域划分主责区的最大面积不得超过200平方米，可采用交叉布岗的方式划分观察区域，必须不留盲区，不留死角。,错误,正确,-,-,A,主责任的最大面积控制在250m2之内
174,判断题,国职游泳救生员初级,管理规范,弧形切割法是以每个救生岗位为圆心，以15m(小池)或25m(大池)为半径切割水域，即为各救生岗位的主责区。,错误,正确,-,-,A,小池半径是10m，大池半径是15米
175,判断题,国职游泳救生员初级,管理规范,施救者使用非标准的漂浮物或器材对溺水者施救，也要先确保自身安全，同时考虑到溺水者的安全。,错误,正确,-,-,B,游泳救生的间接赴救是指救生员在游泳池内使用救生器材（如救生杆、救生圈、救生浮标和其他器物），对清醒的、正在挣扎的水者经过准确判断、在保证自身安全的前提下，优先选择的一种赴救技术
176,判断题,国职游泳救生员初级,管理规范,救生圈是泳池常见救生器材，也是间接赴救必备器材之一。,错误,正确,-,-,B,救生圈作为泳池常见的救生设备，在水域救援中起到非常重要的作用，同时也是进行间接赴救时必备的器材之一.
177,判断题,国职游泳救生员初级,管理规范,在救生杆的前端固定一个15公分长的橡胶圆圈，便于溺水者抓握方便。,错误,正确,-,-,B,
178,判断题,国职游泳救生员初级,管理规范,游泳救生员发现溺水者正在岸边两米处挣扎，直接跳下水中将溺者救起要比使用救生杆方便的多。,错误,正确,-,-,A,溺水者在距离岸边2~3米，采用间接赴救，如救生杆
179,判断题,国职游泳救生员初级,管理规范,器材救生不利于溺水者抓、握、抱，难保安全。,错误,正确,-,-,A,器材救生是利于给溺水者抓、握、抱，保证安全；
180,判断题,国职游泳救生员初级,管理规范,救生圈在抛投时一定要准确到位，最好可以直接投在溺水者头上。,错误,正确,-,-,A,不能投在溺水者头，避免伤到溺水者
181,判断题,国职游泳救生员初级,管理规范,长毛巾、绳子、木棍和大可乐瓶等是在游泳池没有配备专业救生器材时，所可以间接利用救生器材。,错误,正确,-,-,B,其他救生器物的使用
182,判断题,国职游泳救生员初级,管理规范,在游泳池有人发生溺水时，由于情况危机救生员要利用一切可以使用得器物施救，如长毛巾、打水板、绳子、木棍、有浮力的物品等。,错误,正确,-,-,B,其他救生器物的使用
183,判断题,国职游泳救生员初级,管理规范,间接赴救方法有很多，但原则是施救者在岸上使用有效的救生器材或方法安全施救。,错误,正确,-,-,B,间接救助是指当人或动物落水无法自行上岸时，岸上施救者需要使用有效的救生器材或方法进行安全施救，确保落水者能够得到及时的救助。
184,判断题,国职游泳救生员初级,管理规范,手援施救是救生员徒手进行施救的一种复杂方法。,错误,正确,-,-,A,手援：溺水者距离岸边救生员手能够着救生员手把他拉起施救。应是简单
185,判断题,国职游泳救生员初级,管理规范,在施救时使用救生浮标可以起到增加浮力的作用，但不能起到保持稳定的作用。,错误,正确,-,-,A,可以保持稳定
186,判断题,国职游泳救生员初级,管理规范,救生员在距离游泳池边较远的地方发现溺水者，使用救生浮标进行施救是一种最快捷的好方法。,错误,正确,-,-,B,距离远，使用浮标直接赴救
187,判断题,国职游泳救生员初级,管理规范,直接赴救器材赴救和徒手赴救两种情况。,错误,正确,-,-,B,直接赴救技术可以分为器材赴救和徒手赴救两种情况
188,判断题,国职游泳救生员初级,管理规范,救生员对距离游泳池边较远，尚无意识的溺水者进行施救时，通常要使用间接救生技术。,错误,正确,-,-,A,在不能使用间接技术情况下，采取直接赴救。无意识的溺水者无法用间接赴救技术，无意识的溺水者无法抓、握、抱住救生器材，应用直接赴救技术才合理
189,判断题,国职游泳救生员初级,管理规范,入水、接近、解脱、拖带、肩背是直接赴救技术的组成。,错误,正确,-,-,A,直接赴救包括：入水、接近、解脱、拖带上岸、运送6项技术环节；肩背只是运送一种方式，应为运动，还少了上岸步骤
190,判断题,国职游泳救生员初级,管理规范,直接赴救包括：入水、接近、解脱、拖带上岸、运送6项技术环节，其中不同技术环节在实际赴救中可以变化顺序。,错误,正确,-,-,A,不可变化顺序
191,判断题,国职游泳救生员初级,管理规范,直接赴救包括：入水、接近、解脱、拖带、上岸5项技术环节。,错误,正确,-,-,A,少了运送，是6项
192,判断题,国职游泳救生员初级,管理规范,直接赴救包括：入水、接近、解脱、拖带上岸、运送6项技术环节。,错误,正确,-,-,B,
193,判断题,国职游泳救生员初级,管理规范,直接赴救技术中拖带技术只有徒手操作一种。,错误,正确,-,-,A,直接赴救还有浮标器材操作
194,判断题,国职游泳救生员初级,管理规范,浮标救生跨步式入水技术和蛙腿式入水技术的上肢技术动作类似，均是浮标浮体横置于胸前并经过腋下，手扶救生浮标中间下方，成“抱胸“姿势。,错误,正确,-,-,B,
195,判断题,国职游泳救生员初级,管理规范,游泳救生员应该根据溺水现场的实际情况选择最适宜的入水技术。,错误,正确,-,-,B,救生员要根据溺水者与岸边的距离、泳池水深和现场环境选择入水方式。
196,判断题,国职游泳救生员初级,管理规范,游泳救生入水技术分为：蛙腿式、跨步式、鱼跃式、直立式四种方式。,错误,正确,-,-,B,
197,判断题,国职游泳救生员初级,管理规范,采用跨步式入水技术，入水时两手手臂向前下方抱压水，同时双脚做蹬剪水动作。,错误,正确,-,-,B,
198,判断题,国职游泳救生员初级,管理规范,采用跨步式入水时，要目视溺水者，一脚前跨，另一脚脚趾紧扣池边，并用力蹬地，在空中两腿一前一后呈弓步型。,错误,正确,-,-,B,
199,判断题,国职游泳救生员初级,管理规范,采用蛙腿式入水时，需要时刻目视溺水者。,错误,正确,-,-,B,
200,判断题,国职游泳救生员初级,管理规范,采用鱼跃浅跳式入水时，要保持游泳救生员头始终在水面上，眼睛始终不离赴救目标。,错误,正确,-,-,A,应跨步或蛙步，鱼跃无法始终保持在水面。鱼跃式入水后，应迅速出水
201,判断题,国职游泳救生员初级,管理规范,当游泳救生员距离溺水者较远时，可采用鱼跃浅跳式入水。,错误,正确,-,-,B,
202,判断题,国职游泳救生员初级,管理规范,跨步式入水瞬间，双足及双手同时用力向后划水，以保持身体露出水面，便于观察溺水者情况。,错误,正确,-,-,A,手臂向下抱压水，两脚做蹬剪水动作
203,判断题,国职游泳救生员初级,管理规范,蛙腿式入水后，头露出水面后，应迅速捕捉溺水者的目标。,错误,正确,-,-,A,蛙腿式入水头部始终在水上，这个描述是鱼跃式。
204,判断题,国职游泳救生员初级,管理规范,跨步式入水后，头露出水面后，应迅速扑捉溺者的目标。,错误,正确,-,-,A,跨步式应头部始终在水上，这个描述是鱼跃式。
205,判断题,国职游泳救生员初级,管理规范,蛙腿式入水与跨步式入水的适用范围不同。,错误,正确,-,-,A,蛙腿式入水与跨步式入水的适用范围相同。
206,判断题,国职游泳救生员初级,管理规范,游泳池专用入水技术分为跨步式、蛙腿式、鱼跃式、抱膝式等。,错误,正确,-,-,A,没有抱膝式，应是直立式
207,判断题,国职游泳救生员初级,管理规范,在采用入水技术时，救生员的双足和双手同时用力向下压，以保持手臂露出水面。,错误,正确,-,-,A,不是手臂露出水面，是头部露出水面，方便锁定目标
208,判断题,国职游泳救生员初级,管理规范,跨步式入水时技术为两腿作跨步式的前后分开，身体稍向后倾，使重心落在身体后方入水。,错误,正确,-,-,A,身体稍向前倾，使重心落在身体前方入水
209,判断题,国职游泳救生员初级,管理规范,救生员距离溺水者较远时，可采用蛙腿式入水。,错误,正确,-,-,A,用鱼跃式
210,判断题,国职游泳救生员初级,管理规范,采用直立式入水，入水后应双手及时向下压水，两脚做蹬夹水动作，力求尽快上浮，捕捉施救目标。,错误,正确,-,-,B,
211,判断题,国职游泳救生员初级,管理规范,当游泳救生员处在较高的观察台上，游泳救生员明确水池有足够深度的时候，仅应采用鱼跃浅跳式入水技术。,错误,正确,-,-,A,可直立式
212,判断题,国职游泳救生员初级,管理规范,鱼跃浅跳入水后，要在水中滑行一定的距离后，方可头露出水面。,错误,正确,-,-,A,入水要浅，头部尽快出水，锁定赴救目标
213,判断题,国职游泳救生员初级,管理规范,在浮标救生中，蛙腿式入水和鱼跃式入水在接近溺水者急停距离不一致。,错误,正确,-,-,A,在接近溺水者急停观察距离一致
214,判断题,国职游泳救生员初级,技能知识,侧面接近时，救生员靠近溺水者看准并果断，利索地用同侧手抓握住挣扎中的溺水者近侧手腕部。,错误,正确,-,-,B,同侧手抓住溺水者近侧手
215,判断题,国职游泳救生员初级,技能知识,侧面接近时，救生员用右手抓住溺水者近侧手腕部，将溺水者拉向救生员的胸前。,错误,正确,-,-,A,不是右手，是同侧手
216,判断题,国职游泳救生员初级,技能知识,侧面接近和背面接近均是距离溺水者2-3米处急停。,错误,正确,-,-,A,背面是1~2米急停
217,判断题,国职游泳救生员初级,技能知识,接近是指救生员采用入水动作靠近溺水者一项专门技术。,错误,正确,-,-,A,少了有效控制溺水者
218,判断题,国职游泳救生员初级,技能知识,接近是指游泳救生员及时靠近并有效控制溺水者的一项专门技术。,错误,正确,-,-,B,
219,判断题,国职游泳救生员初级,技能知识,溺水者尚未下沉，两手在水面上挥舞挣扎时，应采用正面接近技术。,错误,正确,-,-,A,应采用侧面
220,判断题,国职游泳救生员初级,技能知识,若游泳救生员采用徒手赴救中背面接近技术，那么在距离溺水者2~3米处需要急停。,错误,正确,-,-,A,背面接近，急停观察距离是1~2米处
221,判断题,国职游泳救生员初级,技能知识,在一般的情况下，救生员应尽可能地采用背面接近溺者，保护自身安全。,错误,正确,-,-,B,背面接近是最安全，故正确
222,判断题,国职游泳救生员初级,技能知识,在施救时尽可能靠近溺水者，便于成功救起。,错误,正确,-,-,A,接近时都有观察距离，正面和侧面是3米，背面是1.5米。故错
223,判断题,国职游泳救生员初级,技能知识,救生员接近溺者成功后一定要控制住溺者。,错误,正确,-,-,B,在救生过程中，当救生员成功接近溺者后，确实需要迅速而有效地控制溺者，以防止其继续挣扎或移动，从而导致进一步的危险。控制溺者可以确保救生员能够稳定地进行后续救援作，如将其带至安全区域或进行必要的急救措施。
224,判断题,国职游泳救生员初级,技能知识,在正面接近溺水者时，游泳救生员入水后游至离溺水者3m左右急停，下潜至溺水者髋部以下，将其旋转180°。,错误,正确,-,-,B,
225,判断题,国职游泳救生员初级,技能知识,正面接近是救生员入水后，游至溺水者1米处左右急停，下潜至溺水者腰部以下，接下一技术进行施救。,错误,正确,-,-,A,正面接近，急停观察距离不是1米，而是3米
226,判断题,国职游泳救生员初级,技能知识,采用沉底救生技术，游泳救生员在接近时可直接下潜至溺水者身旁，双手托腋，脚蹬池底，将溺水者带到水面。,错误,正确,-,-,B,沉底救生技术
227,判断题,国职游泳救生员初级,技能知识,接近时救生员可以直接潜入池底，双手托住溺水者的头部，脚蹬池底，将溺水者拖出水面。,错误,正确,-,-,A,沉底救生技术：不是托头部，是托双腋
228,判断题,国职游泳救生员初级,技能知识,如果溺水者沉底，游泳救生员靠近溺水者背后，用救生浮标将溺水者托起至水面，使溺水者口鼻朝上。,错误,正确,-,-,A,沉底了，不需要救生浮标
229,判断题,国职游泳救生员初级,技能知识,在接近溺水者时，要尽量避免正面接触，从背面或侧面接近是最佳选择方法。,错误,正确,-,-,B,避免正面，从背面或侧面最佳
230,判断题,国职游泳救生员初级,技能知识,接近时，应采用速度较快的蛙泳，以便观察溺水者。,错误,正确,-,-,A,抬头爬泳才是最快
231,判断题,国职游泳救生员初级,技能知识,游泳救生员如采用蛙腿式入水，入水后采用蛙泳以最快速度游向溺水者，距离溺水者1~2m位置时急停。,错误,正确,-,-,A,采用抬头爬泳
232,判断题,国职游泳救生员初级,技能知识,在接近溺水者时，要尽量避免与溺水者背面接触。,错误,正确,-,-,A,是尽量避免正面接触
233,判断题,国职游泳救生员初级,技能知识,单手(臂)被同侧手抓握包括：游泳救生员右手被溺水者的右手抓住，及游泳救生员右手被溺水者的左手抓住等情况。,错误,正确,-,-,A,同侧手：救生员与溺水者面对面，救生员右手被溺水者左手抓，或救生员左手被溺水者右手抓。上面描述是异侧手
234,判断题,国职游泳救生员初级,技能知识,当救生员右手被溺水者的右手抓住时应采用“转腕法”。,错误,正确,-,-,B,单手被异侧手被抓，采用转腕法，正确
235,判断题,国职游泳救生员初级,技能知识,当救生员右手被溺水者的左手抓住时应采用“推击法”。,错误,正确,-,-,B,单手被异侧手被抓，采用转腕法，正确
236,判断题,国职游泳救生员初级,技能知识,当救生员右手被溺水者的左手抓住时应采用“转腕法”。,错误,正确,-,-,A,是同侧手被抓，应采用“推击法”
237,判断题,国职游泳救生员初级,技能知识,当救生员左手被溺水者的左手抓住时应采用“推击法”。,错误,正确,-,-,A,是异侧手被抓，应从用“转腕法”
238,判断题,国职游泳救生员初级,技能知识,救生员单手前臂被溺水者抓住时常用扳手指法解脱。,错误,正确,-,-,A,转腕或推击
239,判断题,国职游泳救生员初级,技能知识,救生员用单手虎口推击溺水者手腕部时，撞击时要迅速、有力。,错误,正确,-,-,B,
240,判断题,国职游泳救生员初级,技能知识,溺水者抓抱游泳救生员部位情况的不同，游泳救生员解脱的方法也各有区别。,错误,正确,-,-,B,
241,判断题,国职游泳救生员初级,技能知识,转腕解脱法，适用于单手(臂)被同侧手抓握的情况。,错误,正确,-,-,A,单手被异侧手抓情况
242,判断题,国职游泳救生员初级,技能知识,转腕解脱法，适用于游泳救生员左手被溺水者的右手抓住的情况。,错误,正确,-,-,A,是异侧手，救生员左手、溺水者左手
243,判断题,国职游泳救生员初级,技能知识,转腕解脱法，适用于游泳救生员右手被溺水者的左手抓住的情况。,错误,正确,-,-,A,是异侧手，救生员左手、溺水者左手
244,判断题,国职游泳救生员初级,技能知识,转腕解脱法中，当游泳救生员右手被溺水者的右手抓住时，被抓的右手上提、转腕外翻下压，抓住溺水者的右手腕部向右拉出后使溺水者背部贴近救生员前胸，有效控制后实施拖带。,错误,正确,-,-,B,
245,判断题,国职游泳救生员初级,技能知识,单手(臂)被双手抓握解脱技术分同侧手在上解脱法及异侧手在上解脱法。,错误,正确,-,-,B,单手被双手抓分2种情况：同侧手在上，异侧手在上
246,判断题,国职游泳救生员初级,技能知识,推击解脱法，适用于单手(臂)被同侧手抓握的情况。,错误,正确,-,-,B,
247,判断题,国职游泳救生员初级,技能知识,推击解脱法，适用于单手(臂)被异侧手抓握的情况。,错误,正确,-,-,A,是同侧手
248,判断题,国职游泳救生员初级,技能知识,游泳救生员的右臂被溺水者左手在上，右手在下双手抓握，是异侧手在上。,错误,正确,-,-,A,是同侧手在上
249,判断题,国职游泳救生员初级,技能知识,当游泳救生员双手同时被溺水者抓握时，可采用“上推双肘法“进行解脱。,错误,正确,-,-,A,是“转腕法”解脱
250,判断题,国职游泳救生员初级,技能知识,当游泳救生员双手同时被溺水者抓握时，可采用“转腕法”进行解脱。,错误,正确,-,-,B,
251,判断题,国职游泳救生员初级,技能知识,双手同时被抓握，用转腕法解脱双手并抓握溺水者手腕后，放开左侧手臂，同时抓持溺水者右侧手臂，向游泳救生员右侧方向拉转溺水者。,错误,正确,-,-,B,
252,判断题,国职游泳救生员初级,技能知识,双手同时被抓握采用转腕法进行解脱，救生员首先应迅速将溺水者双臂下压。,错误,正确,-,-,A,是先上提
253,判断题,国职游泳救生员初级,技能知识,“抓发”解脱后，应及时将溺水者转体至背贴救生员前胸，夹胸控制住。,错误,正确,-,-,B,将溺水者转体至背部贴近救生员前胸，有效控制后实施拖带。这里夹胸正确，也可以双手托腋
254,判断题,国职游泳救生员初级,技能知识,压掌推肘解脱法：溺水者右手抓游泳救生员头发，游泳救生员右手压住溺水者抓发手的手臂。,错误,正确,-,-,A,压掌推肘解脱法：以溺水者右手抓救生员头发为例：救生员右手压住溺水者抓发手的手腕，低头前顶，左手推击溺水者肘部（做反关节动作），使其抓发手松开。这里描述是手臂错误，应该是手腕。
255,判断题,国职游泳救生员初级,技能知识,抓发解脱后，应及时将溺水者转体至背贴救生员前胸，夹胸控制住。,错误,正确,-,-,B,
256,判断题,国职游泳救生员初级,技能知识,头发被溺水者右手抓握，游泳救生员左手压住抓发手臂，低头前顶。,错误,正确,-,-,A,不是手臂，是手腕
257,判断题,国职游泳救生员初级,技能知识,当救生员头发被溺水者右手抓握，救生员左手压住抓发手腕，低头前顶，右手插入手指，掰推溺水者抓发手指。,错误,正确,-,-,B,压腕掰指解脱法
258,判断题,国职游泳救生员初级,技能知识,当溺水者从背面抱紧救生员颈部时，应采用压腕上推单肘解脱法。,错误,正确,-,-,B,
259,判断题,国职游泳救生员初级,技能知识,颈部被抱持的解脱方法是转腕法。,错误,正确,-,-,A,压腕上推单肘和上推双肘
260,判断题,国职游泳救生员初级,技能知识,颈部于正面被抱时常用的解脱方法是上推双肘法。,错误,正确,-,-,B,当溺水者正面抱持救生员颈部时应采用上推双肘解脱法。
261,判断题,国职游泳救生员初级,技能知识,当溺水者从背面抱紧救生员腰部时，应采用压腕上推单肘解脱法,错误,正确,-,-,A,背面抱腰，采用弓身抽手扳指法
262,判断题,国职游泳救生员初级,技能知识,弓身抽手扳指法中，弓身、抽手、扳指、两臂上举后，游泳救生员下蹲，放开溺水者一只手，撤移至其前面。,错误,正确,-,-,A,撤移至其后面
263,判断题,国职游泳救生员初级,技能知识,弓身抽手扳指法中，弓身、抽手、扳指后游泳救生员下蹲，放开溺水者一只手，撤移至其背后，使溺水者背部贴近游泳救生员前胸。,错误,正确,-,-,B,
264,判断题,国职游泳救生员初级,技能知识,夹鼻推颌解脱法中，最后应将溺水者转体至正面贴近游泳救生员前胸，有效控制后实施拖带。,错误,正确,-,-,A,是背面，不是正面
265,判断题,国职游泳救生员初级,技能知识,夹鼻推颌解脱法中，夹鼻、推颌后，另一只手抱溺水者腰部，并用力向自己方向压，迫使溺水者松开双手。,错误,正确,-,-,B,
266,判断题,国职游泳救生员初级,技能知识,救生员腰部正面被抱持后，救生员应采用扳手指方法解脱。,错误,正确,-,-,A,夹鼻推颌
267,判断题,国职游泳救生员初级,技能知识,腰部被抱持是指双臂肘部关节以下和躯干同时被溺水者抱持。,错误,正确,-,-,B,
268,判断题,国职游泳救生员初级,技能知识,腰部被背面抱持，一般采用夹鼻推颌法解脱。,错误,正确,-,-,A,弓身抽手扳指
269,判断题,国职游泳救生员初级,技能知识,腰部被正面抱持，一般采用弓身抽手扳指法解脱。,错误,正确,-,-,A,夹鼻推颌法
270,判断题,国职游泳救生员初级,技能知识,救生员在施救时，腰部背面被溺水者抱持时，应采用夹鼻推颌法解脱。,错误,正确,-,-,A,腰部背面被抱持，用弓身抽手扳指解脱法
271,判断题,国职游泳救生员初级,技能知识,救生员在施救时，腰部背面被溺水者抱持时，应采用转腕法解脱。,错误,正确,-,-,A,腰部背面被抱持，用弓身抽手扳指解脱法
272,判断题,国职游泳救生员初级,技能知识,当游泳救生员双腿被溺水者抱持时，可采用夹鼻推颌解脱法。,错误,正确,-,-,B,
273,判断题,国职游泳救生员初级,技能知识,当游泳救生员双腿被溺水者抱持时，首先要低头分清溺水者脸部的朝向。,错误,正确,-,-,B,
274,判断题,国职游泳救生员初级,技能知识,救生员在进行双人解脱时，应先确认两个人中谁是溺水者，再进行解脱。,错误,正确,-,-,B,
275,判断题,国职游泳救生员初级,技能知识,托腋蹬离解脱法在解脱前，游泳救生员需认清抱持的两个人中堆是溺水者。,错误,正确,-,-,B,
276,判断题,国职游泳救生员初级,技能知识,在进行双人解脱时，应先确认谁是溺水者再进行解脱,错误,正确,-,-,B,
277,判断题,国职游泳救生员初级,技能知识,双人抱持解脱可采用夹胸蹬离解脱法和压腕上推单肘解脱法。,错误,正确,-,-,B,一个是托腋蹬离解脱法，不是压腕上推单肘解脱法
278,判断题,国职游泳救生员初级,技能知识,双人抱持解脱可采用压腕上推单肘解脱法和上推双肘解脱法。,错误,正确,-,-,A,是夹胸蹬离解脱和托腋蹬离解脱法
279,判断题,国职游泳救生员初级,技能知识,双人抱持在解脱前，救生员需认清抱持的两人中谁是溺水者。,错误,正确,-,-,B,
280,判断题,国职游泳救生员初级,技能知识,当游泳救生员双腿被溺水者抱持时，可采用弓身抽手扳指解脱法进行解脱。,错误,正确,-,-,A,采用夹鼻推颌
281,判断题,国职游泳救生员初级,技能知识,解脱后，应及时、有效的控制溺水者，以便拖带，,错误,正确,-,-,B,
282,判断题,国职游泳救生员初级,技能知识,托腋蹬离解脱法，游泳救生员双手插人溺水者的两腋下，用力将被抱持人蹬离解脱。,错误,正确,-,-,A,用柔力
283,判断题,国职游泳救生员初级,技能知识,对于昏迷的溺水者，游泳救生员借助浮标的浮力将溺水者拖带到岸边。拖带时游泳救生员将救生浮标置于自己胸前并穿过腋下，自己手肘处于溺水者腋下位置。,错误,正确,-,-,B,
284,判断题,国职游泳救生员初级,技能知识,侧泳或反蛙泳技术常用于托枕拖带。,错误,正确,-,-,B,
285,判断题,国职游泳救生员初级,技能知识,对精神紧张的溺水者，使用侧泳技术采用夹胸的方法，能严紧地控制溺水者。,错误,正确,-,-,B,对于精神紧张的溺水者，使用侧泳技术并采用夹胸的方法确实是一种有效的救援手段。这种技术有助于救援者更好地控制溺水者，减少溺水者的挣扎和反抗，从而保障救援过程的顺利进行。
286,判断题,国职游泳救生员初级,技能知识,夹胸拖带技术较适用于身材矮小的救生员拖带溺水者。,错误,正确,-,-,A,身材高大
287,判断题,国职游泳救生员初级,技能知识,夹胸拖带时，应采用蛙泳腿或侧泳腿以保证拖带的成功。,错误,正确,-,-,B,在进行夹胸拖带时，确实需要采用特定的腿部动作来保持平衡和推进，以确保拖带的成功。蛙泳腿和侧泳腿都是有效的腿部动作，可以提供必要的推进力和稳定性，有助于拖带者更好地控制方向和速度。
288,判断题,国职游泳救生员初级,技能知识,夹胸拖带时，救生员手臂着力点应在溺水者头和额下部位上。,错误,正确,-,-,A,应在上胸和腋下部位
289,判断题,国职游泳救生员初级,技能知识,夹胸拖带时，救生员手臂着力点应在溺者身上胸和腋下部位上。,错误,正确,-,-,B,
290,判断题,国职游泳救生员初级,技能知识,溺水者如颈部受伤不适用托枕拖带技术。,错误,正确,-,-,B,
291,判断题,国职游泳救生员初级,技能知识,双人拖带技术，两名游泳救生员用反蛙泳技术游进。,错误,正确,-,-,A,是侧泳，两个人如同时反蛙泳，腿脚会碰到一起
292,判断题,国职游泳救生员初级,技能知识,双人拖带技术适用反蛙泳技术游进。,错误,正确,-,-,A,是侧泳
293,判断题,国职游泳救生员初级,技能知识,托颌拖带技术用侧泳技术游进。,错误,正确,-,-,A,是反蛙泳
294,判断题,国职游泳救生员初级,技能知识,托双腋拖带技术比较省力，在救助溺水者过程中易于施救溺水者。,错误,正确,-,-,A,易于控制溺水者
295,判断题,国职游泳救生员初级,技能知识,托腋拖带技术用侧泳技术进行拖带，,错误,正确,-,-,A,托腋是反蛙泳
296,判断题,国职游泳救生员初级,技能知识,托枕拖带技术适用于疑似颈部受伤者。,错误,正确,-,-,A,不适用疑似颈部受伤者
297,判断题,国职游泳救生员初级,技能知识,拖带是救生员采用侧泳、潜水技术将溺水者拖带到岸边的一种技术。,错误,正确,-,-,A,不是潜泳，是反蛙泳
298,判断题,国职游泳救生员初级,技能知识,拖带是指救生员采用侧泳、反蛙泳等各种不同技术，将溺水者拖带到池边的一种技术。,错误,正确,-,-,B,
299,判断题,国职游泳救生员初级,技能知识,右臂夹胸拖带技术中，在运送过程中，游泳救生员可用右腿顶住溺水者的腰背部，使溺水者保持水平位置，便使于拖带。,错误,正确,-,-,A,是用髋部，不是腿部
300,判断题,国职游泳救生员初级,技能知识,拖带过程中，要始终保持溺水者的头部露出水面。,错误,正确,-,-,A,是口鼻露出水面，不是头部
301,判断题,国职游泳救生员初级,技能知识,拖带时应使溺水者的口鼻保持在水面上，以保证溺水者的呼吸。,错误,正确,-,-,B,
